,Models,Decision Tree,Logistic Regression,Random Forest
0,movie_alg,1.0,0.967741935483871,1.0
1,emoRoberta,0.8397502601456815,0.8116545265348595,0.8397502601456815
2,ekman,0.6940686784599376,0.6836628511966701,0.6940686784599376
3,nrclex,0.4516129032258064,0.4110301768990634,0.4516129032258064
